text_id,u_n,u_who,text,label
SMW8,1383,S0316,you'll be able to judge yourself quite quickly what,
SR7C,15,S0623,well they aren't all flats mm,
ST82,486,S0525,why?,
SMW8,2322,S0255,he was ,
S6BS,517,S0602,anywhere,
SA7J,1716,UNKMALE,yeah,
SEKZ,1714,S0353,you know I mean? the,
SD3R,312,S0350,no,
SEKZ,2719,S0353,no,
S3S6,94,S0276,okay,
SUVQ,11935,S0192,of Koreans England doesn't really,
SA4W,41,S0261,sixty and one half day so a hundred and twenty a day but you really need to try and have that er probably at a higher level so you might have some outfits you want to have five hundred done overnight so if you can do something that's connected to a time zone where you're effectively getting twenty-four hour working out of a day,
S968,2132,S0492,erm,
SE3W,655,S0440,well no ,
SNMZ,1676,S0563,jump on her bed and she'd sleep she wouldn't wake up,
SD3R,117,S0344,they're not very erm tactile about it they're just like I don't care,
S4WJ,797,S0441,mm,
S84P,395,S0013,nine ,
ST82,496,S0622,erm six of us seven or something,
SAUR,823,S0192,she has a very good positive though she can look at two cards at once,
S9KS,56,S0439,there's so much shit like like the Moomin stuff I don't ever use it but I just love it yeah,
SKJ3,41,S0198,no out the front,
SUVQ,11436,S0198,I know,
S7RA,148,S0278,very expensive for a small tin but it that's a one coat cover of anything,
S4WJ,1031,S0441,I I don't care if it was dead or not I just smacked it,
SGSY,476,S0261,mm of course,
SMZV,1529,S0350,well we were supposed to see him after the weekend but we ended up like running out of time completely ,
SRNC,189,S0584,so ,
SUVQ,13056,S0198,and stuff whereas other people would just be like,
SWY3,601,S0393,it was nice yeah,
S38V,2101,S0192,do you wanna practice this thing? yeah this needs a good clean now just this thing,
S2QU,18,S0519,well eventually we got a good people and I made him do the,
SDFL,597,S0152,and then all you do is you just change your password and it stops ,
SVLK,143,S0310,legally there's a there's a clash between the law in terms of equal opportunities and that was,
S457,1223,S0525,then there's the fourteenth of April,
SH2P,145,S0192,it turns out you weren't ,
SN98,181,S0230,no ,
SC8H,492,S0392,yeah?,
SYWR,1079,S0397,so there are a lot of village halls around?,
S35K,300,S0372,er not to go without the right car,
S38V,679,S0192,we'll figure something out I need to see what my dad's got maybe the curtains that he's got are different,
SJB4,5192,S0199,yeah,
SHJE,678,S0592,you guys keep getting piss easy questions like oh what what what shark is this? in Jaws,
SPC3,65,S0229,yeah?,
S35K,905,S0262,right,
SUVQ,9239,S0236,it was a bit of a problem,
SJB4,355,S0192,is this the limit of how many armies you can have in each place?,
S7DR,932,S0185,but er no I know they should be able to,
SJSC,342,S0440,that's right,
SMW8,993,S0255,well you can always pop round here on the way home from work a few times if you like ,
SR7C,741,S0525,I thought I'm not gonna risk picking anything up on these erm,
SLRY,22,S0325,erm yeah yeah ,
SMW8,4389,S0255,no well do you want shall we get some strawberries and things?,
SUVQ,664,S0235,no cigarette,
S6W8,2984,S0493,era?,
S35K,145,S0262,yeah,
S84P,259,S0024,I'm a fast player,
SPLU,629,S0614,well ,
SQ3P,339,S0521,oh the old trolley,
S5U8,1157,S0417,mm,
SM99,1632,S0347,I ,
S968,1206,S0493,fuck,
SAUR,1116,S0189,oh so I got to see what I was about to?,
SPLU,840,S0525,hey?,
SAUR,4924,S0190,make it good if you want me to,
SUVQ,10172,S0236,his arse,
SYEF,789,S0615,the Davis Cup,
SM99,1446,S0347,yeah ,
SM8E,29,S0653,you don't like any of them?,
SYWR,982,S0397,I got on one that stopped at ,
S85D,503,S0336,yeah,
S632,6462,S0220,he was such a cunt,
S632,389,S0220,ah she's so big she's getting too big she's getting too big for her bed she can't sleep with ,
S4WJ,846,S0439,yeah I I haven't been to your house for a while,
SN98,399,S0230,yeah or they've,
SKRC,1785,S0481,yeah ,
SQ3P,385,S0520,it was the best thing,
SYWB,33,S0418,yummy,
SUVQ,7919,S0235,yeah,
SEBP,129,S0222,bless you,
S28F,614,S0255,I tend to keep doing stuff and doing stuff and then I ,
SUUE,812,S0371,yeah,
S632,1742,S0220,it still doesn't make sense so what?,
S6W8,2088,S0497,of course they do,
SAUR,2534,S0227,right,
SMW8,4615,S0255,oh I used to do that yeah I'd do that and you sit ,
SJB4,1788,S0197,and you're close,
SWY3,1737,S0391,what's?,
S5XD,3166,S0192,but ,
SNG4,1062,S0255,mm,
ST82,562,S0617,erm booking ,
SNMZ,1241,S0566,well I I was gonna say everybody''d be annoyed at him rather than anything else er,
SE3Y,192,S0192,so it needed a lot of work,
SUVQ,9101,S0198,and then like it grows in the ground we're gonna be rich,
S5XD,3032,S0192,yeah ,
S432,232,S0391,a multipack?,
SE3Y,531,S0192,yeah,
SG56,623,S0261,bugger,
SKZX,449,S0392,erm the,
SLJ5,28,S0681,yeah was that with ,
SLSS,771,S0587,I think it's a necessity I think ,
S632,5920,S0211,hi please may I place an order for delivery?,1
SM99,1106,S0336,he looks chubbier and younger,
ST47,543,S0125,and they try and like interrupt you and you just,
SUVQ,14240,S0235,and that's when I'm,
S5XD,21,S0192,no nothing I just need the toilet,
SPLU,418,S0614,he doesn't no ,
SJRQ,1729,S0392,oh ragged robin is that for the cricket field?,
S38V,877,S0192,don't deem it yeah yeah,
S632,6299,S0208,erm,
SB32,405,S0617,oh,
S3LE,954,S0337,I'm not it's not,
SUVQ,16567,S0198,you stood up ,
S682,1003,S0192,right I need to do better than this ,
SN8K,985,S0255,Wales is a fair way isn't it?,
S632,2077,S0208,I know then we'll already have them by then,
S632,4511,S0202,let me see it,
SJRQ,1543,S0391,yeah yeah,
S35K,2009,S0372,and then they allow him to see his brief,
SV28,891,S0192,there's a lot of protein it's not carb heavy,
S7DR,602,S0176,that that was our holiday money ,
SBJM,310,S0329,well it's my guarantee and I absolutely can't lose that because,
SV28,1067,S0192,we're going to stop again,
SHX2,149,S0418,no,
SKKU,219,S0439,it's just so ,
SA2J,3273,S0622,she on the phone to me and then of course my ,
S2QU,660,S0520,yesterday,
SNG4,2028,S0255,actually you're gonna get really busy with your parties now aren't you?,
SJB4,5055,S0192,and I'm not talking just on the phone or something it's very very close contact with,
SUVQ,11907,S0235,oh,
SUVQ,14742,S0192,yeah yeah yeah,
S632,324,S0222,oh no,
SA7J,508,S0561,oh,
SR5J,180,S0494,yeah ,
SAZX,1232,S0600,tweed Fenders were made from the late nineteen forties until the nineteen sixties,
SUVQ,11632,S0235,really really surreal because it is so touristy,
S682,1122,S0189,still got that I'll try that Planetside game again,
SQ3P,825,S0519,mm,
S8CW,394,S0262,but what about your lecturers at the moment like do you find does anything what we're talking about kind of represent how it's coming across to you or?,
SDFL,1363,S0012,it is unbelievable,
S3LE,1637,S0343,what?,
SZT4,129,S0486,oh,
STVQ,152,S0443,yeah ,
SYHP,474,S0360,yeah,
S28F,890,S0255,yeah this is it erm so he's been trying to really ,
S3LE,2933,S0343,that's it,
SJB4,4106,S0197,yeah,
S323,47,S0578,no only six hours I'm working,
SVLK,207,S0310,erm or they can be economically based decisions which tends to be more common if you've got something like a recession and were certainly much more common in terms of people who perhaps haven't moved away from home or was very very common in years gone by you know ,
SMW8,3201,S0255,now ,
S632,82,S0211,yeah I know yeah it was waiting for us for ages though it was like just coming,
SP9F,767,S0262,yeah least it's going ahead,
SB32,1028,S0617,oh there's a lot,
SAZX,254,S0601,sorry,
SUVQ,272,S0198,okay yeah half an hour,
SC2T,209,S0397,bye,
SHHU,402,S0391,they've got,
S38V,1712,S0198,erm we don't have oh no yeah we've got a colander we don't a sieve so we can't like sieve the flour,
SWY3,1516,S0392,I got that one,
SLSS,1269,S0585,when you think about it like it was nineteen eighties when the first mobile phone was invented,
S7DR,385,S0104,I know it's a lot of money for perfume isn't it?,
SR7C,730,S0623,cook it didn't they?,
SA4W,405,S0261,so ,
S8CB,783,S0592,no I no I won't there's yeah there's been countless times I I I'm kind of going like there's been countless times in the game where I have felt something really strongly but have not acted on it cos I was afraid that I was gonna be wrong but actually I was correct,
S6BS,2332,S0602,I could do ,
S5XD,901,S0192,and if he did strangle my mother I've thought this in hindsight she bruises so easily and she didn't have a single mark nothing ,
S35K,360,S0372,and we're going along and we're driving through the I mean this absolute wilderness,
SPZ4,175,S0391,no I can make one up as good as that ,
S5XD,1111,S0192,and we're still close and I'll still see him when I see him but I'm not gonna expect him to come out and visit me I'm not gonna the it's just taken a step down and I've met other people that I've met when I've travelling that ,
SUVQ,1109,S0198,whenever they mark it,
S5XD,2982,S0192,try not to blend our families at all,
SAZX,1968,S0592,he dead,
S85D,2079,S0337,Ebay Ebay shit,
SAUR,2173,S0192,mine one politics two leadership and would you grab me two blue ones ,
SUVQ,8451,S0235,both of the bedrooms you you you literally go to the top of the stairs one room there and one room there,
SFJ2,16,S0276,like one of my husband's my,
S6BS,74,S0602,oh and not have aspirations?,
SB4D,831,S0192,you ever broken anything?,
S7JS,203,S0519,good job you mentioned the er chips ,
SJKD,251,S0621,what about that eye?,
S9KS,374,S0441,cos they actually can't clap eyes on the place it's all very well having that guy to come but ,
SAZX,523,S0592,what's that?,
SKZX,470,S0391,oh ,
SHJE,1245,S0602,hey guys,
SNMZ,688,S0564,mm,
SMZV,1618,S0336,it would be worth it I really wanna do Amsterdam actually like,
S968,1836,S0493,keep the party going man,
SD6X,168,UNKMALE,what would you like?,
SLSS,2645,S0585,with these boots yeah,
SUVQ,12060,S0198,shouldn't let your mouth run dry,
SA2J,2908,S0525,mm,
S3CP,108,S0390,and then be able to print it,
SD3R,1673,S0344,some babies are like not really like and they're just there they're just you know they're just there and like,
SYEF,503,S0615,excellent,
SD3R,1304,S0350,do it if you did leave it though and then,
SNMZ,116,S0561,mm,
ST47,131,S0125,erm just going to work that bit out,
SEKZ,2114,S0262,yeah,
S3SU,160,S0110,fair enough love oh,
S3LE,1697,S0337,oh I'll have a sorbet please,1
SLSS,2571,S0583,no,
S6BS,1111,S0594,wrong,
SB32,611,S0617,are we going away by the way this year with ,
SMW8,568,S0316,what is it?,
SP9F,74,S0335,I mean am I being a bitch?,
SJLF,327,S0216,yeah that's fine,
S457,1233,S0614,she only does two days,
S632,2557,S0211,to have like cos I wouldn't have even bothered it's just like all of the photos and like,
SMW8,4080,S0256,mm,
S84P,577,S0024,has anyone got any wood?,1
SPC3,253,S0198,and then eventually when it crawled back up you could've made a profit,
SGYW,233,S0070,er I think so,
SUVQ,14741,S0235,but libraries are like they do like amazing,
SFNQ,1464,S0237,yeah,
SBQZ,78,S0262,yeah,
S5XD,3792,S0192,and I'll definitely be up and I'll definitely be up for Christmas so I'll be around ,
S28F,12,S0315,I remember you always used to be cold ,
SE3W,682,S0439,what workshop? you don't need a bloody ,
SLRY,220,S0325,ah,
SYHP,29,S0261,I love this stuff,
SUVQ,15819,S0198,do they say it even more?,
SUC7,234,S0567,her yogurt,
S6W8,1564,S0496,yeah,
SUUE,1510,S0262,but deep down,
S6W8,1311,S0496,well I don't like Vinnie,
SJLF,100,S0216,well like they used to live in that house there used to be like sixteen of us on the street now it's just us,
SWY3,2735,S0393,oh,
S632,2327,UNKFEMALE,ah ,
S968,141,S0494,what I'm supposed to be singing is ,
S3CP,171,S0390,it's very good if you ,
SMW8,801,S0256,mm,
ST82,933,S0617,but they're that sort of way aren't they? ,
SEKZ,389,S0353,that's it,
S8CB,705,S0592,I think I was feeling quite down as it was,
S2QU,486,S0522,she plays it very well she's like completely emotionless,
S84P,584,S0144,I don't want any rock,
SKZX,510,S0393,well I was gonna ask you about the accents I asked someone where to go and she said you wanna go up ,
SJRQ,681,S0391,yeah,
SPZ4,65,S0393,yeah I do,
S35K,1584,S0262,because dialogue is still visual cos there's all the idea about your facial gestures everything is still in in that you know,
SMZV,1037,S0336,yeah,
S432,772,S0391,yeah,
S3MW,150,S0615,oh ,
S432,175,S0392,yeah we are,
SUVQ,436,S0192,would you like a rollie? I'll have a rollie if you'll join me,
SLJ5,150,S0681,well which is not that,
S3M4,431,S0517,some of it is just hard work ,
S38V,2308,S0198,yeah we'll put the rice in there,
ST82,858,S0617,I'm sure I didn't really have it bad last year did I?,
SUVQ,239,S0198,fifty-sixty miles on,
S6W8,1558,S0492,erm,
S3SU,381,S0104,yeah were there were there a hundred thousand? is that,
SYHP,1141,S0261,attached,
SFNQ,1589,S0192,we were in the same halls er we were in the same room in the same flat,
SKJ3,371,S0198,right everything you mainly need is sitting right next to you,
SJB4,2136,S0197,what was that about?,
S968,862,S0496,can I have a ,
SM99,961,S0346,thirty-two ,
S35K,1679,S0372,and explosives,
SAZX,315,S0594,okay,
S632,7004,S0221,this is really good come on,
SGSY,211,S0262,yes absolutely,
SAT9,164,S0058,yeah okay,
SGSY,132,S0262,yeah,
SP9F,202,S0335,that is amazing,
S7JS,108,S0519,we're south south east of ,
S7DR,121,S0104,no I'm not doing it for you ,
S6W8,2548,S0494,just think it all shouts for some sort of proportional representation,
S5XD,2928,S0196,okay,
SE6F,472,S0337,yes,
SKZX,2,S0393,I said I've bought a guitar,
S63L,640,S0262,yeah okay,
SUVQ,1159,S0235,yeah,
SWY3,1990,S0392,so okay? so we've got a golden shootout between ,
SE3W,657,S0440,it won't it won't it won't it'll add ,
SNMZ,1151,S0561,if someone was silly enough to leave them on overnight,
SLRY,145,S0324,dunno,
SUVQ,3857,S0192,yeah I know we need to stop ,
S85D,430,S0336,like basic news,
S3MW,814,S0525,where you gonna go?,
SJSC,333,S0440,she's she was doing ,
SLSS,1716,S0583,you know like you get in hotels,
SM8E,433,S0654,mum?,
SUVQ,5180,S0235,yeah,
SJB4,4099,S0199,you win the whole game?,
SLRD,550,S0283,and it was a it was a typical piece of strategy work where we sat around drawing graphs and looking at the internet for data and deciding how to make people's lives better,
SEKZ,2119,S0353,yeah but other times she'd come home and something something would be missing and she'd go what's missing? bloody freezer's gone he'd have sold it to buy alcohol ,
SRRS,196,S0441,yeah ,
S6W8,1326,S0496,that's exactly what you think of exactly ,
SMW8,2733,S0316,don't even remember talking to him but I have quite a lot of memory loss from my wine,
SLRY,417,S0325,that's it and that,
SAUR,1629,S0189,oh,
SB32,1413,S0525,yeah just look eight stone,
SP9F,510,S0335,and it takes a while to quieten them down even if you say ,
SMZV,91,S0336,yeah,
SKKU,243,S0439,so even though it will cost me extra what? three hundred odd quid to stay in this stupid shitty house ,
SJB4,523,S0192,ah so you've gotta hold the whole of something,
SKRC,1457,S0439,we do and we yeah we do and we have the thing to prove it like our deposit is safe,
S632,2118,S0222,cos he's so he'll er he's really er he's so he knows everything so if you say like I'll say a country ,
S3LE,2068,S0343,couldn't bother you for another Coke could I?,1
SUEL,465,S0070,school owners particularly,
SZ98,58,S0441,he's got nothing,
SLSS,2363,S0587,I couldn't make it,
SC2T,592,S0397,she didn't it's not er a it's,
SM99,986,S0336,even though I'm not like petite as it were,
SJSC,1075,S0439,it's because he doesn't want to go spinning all the time mum he's not like a nut about it like,
S6W8,5326,S0496,frigging heck,
SM99,75,S0337,no put it away she would've done that in a right northern accent I just didn't wanna imagine her ,
SJRQ,328,S0392,no Prague ,
SE6F,322,S0336,my left and right-click,
SYWR,91,S0391,sent me a photo I showed aunty ,
S6W8,2301,S0493,alright ,
S28F,598,S0255,yeah,
SUUE,1626,S0262,mm,
SUVQ,14169,S0198,or even in Yorkshire,
SYEF,171,S0525,and it'll be good if he passes then because he can drive himself up to the academy and,
SNRQ,74,S0170,mm hm,
SA7J,75,S0692,don't know,
S7DR,120,S0185,well it's er I don't mind,
SWY3,2785,S0545,er I'm going to say a hundred and forty,
SN8K,1764,S0255,yeah yeah that's it,
SNMZ,502,S0543,ish,
SA2J,2901,S0622,yeah yeah yeah he's ,
S632,782,S0220,yeah,
SD3R,1572,S0349,but that's so mean ,
SD6X,964,S0058,thank you ,
SA2J,630,S0525,yeah,
SA2J,1186,S0641,oh Doug,
SLSS,100,S0585,in this New Zealand it was so funny ,
SD6X,1373,S0058,I mean the only advantage is the leave situation,
SDFR,52,S0417,mm,
S432,352,S0391,have you never seen a camp bed?,
SA2J,2594,S0525,what people for ,
SNG4,1015,S0258,yeah ,
S985,1804,S0346,no,
S84P,330,S0024,yeah,
S682,1241,S0189,yeah woah woah woah woah woah ,
SM8E,292,S0655,I feel that I might be able to beat you this time,
SUVQ,11682,S0198,insane yeah yeah,
SRNC,3,S0587,erm okay so I'm gonna send off a donation now,
SVZH,103,S0198,I bet he's still wearing your pair of crap school shoes though,
S8CW,39,S0262,it's just had such the opposite so I was being all flowery and colourful with all my like you know I thought I was trying to it's a communications officer job so I thought I'd be a little bit more on the side of meet the brief but do it in quite a ,
SJB4,5169,S0192,oh we don't put pressure on ourselves it's other people putting pressure on us,
SD3R,1404,S0344,erm like she,
SNE5,45,S0393,just out on her bike,
SAZX,872,S0601,okay I'm gonna pick Canada please,1
SAUR,56,S0189,that one's kind of big,
SAUR,809,S0192,if you look at your card everyone should have kinda like a positive thing that you can do every turn then underneath it there's something you can do once in the whole game and then at the bottom is like a negative thing,
S632,882,S0220,ah okay,
SWY3,2489,S0391,wow,
S5U8,701,S0417,yeah,
SUVQ,4581,S0192,boys are louder,
S968,786,S0494,be still,
SJB4,1154,S0199,one off each,
SP9F,1068,S0335,mm,
S6W8,4954,S0493,she's not a blocker she's not a blocker,
S2QU,197,S0520,we didn't even,
S6BS,3066,S0594,I don't fucking know ,
S985,1928,UNKMALE,I'm Street Viewing it leave me alone,1
S632,3697,S0202,someone else's turn to get wine,1
S3MW,196,S0615,mm ,
SXAN,233,S0486,and I said ,
S632,3184,S0221,do ,
S985,1217,S0346,yeah I ,
SM8E,441,S0653,good that's good to know,
SJB4,2508,S0199,so you could get three,
SPLU,696,S0525,you wouldn't would you?,
S3LE,3240,S0343,yeah nightmare,
SH2P,565,S0192,you can't make a vowel without vibrating the vocal cords,
S6W8,5814,S0493,yeah,
SQ3P,884,S0519,dives on it,
SDFL,1394,S0154,ah ,
S38V,1165,S0192,and they know that their only grade is participation,
SMW8,4189,S0256,as in our TV no no no as in on the TV you have to get it on the ,
SUVQ,13475,S0192,I think I'd live on that,
SMW8,3613,S0255,you don't really wanna send a message saying sorry don't like you you freaked me out with the woman and,
S682,196,S0189,it's rubbish,
SG97,76,S0489,as it were the picture is continuous,
SV28,1027,S0192,and by beans,
S3LE,1171,S0336,it's just been a really shit few weeks like it's been taking me like over an hour and a half most days to get to and from work like,
SAUR,4330,S0189,yeah,
S28F,1586,S0315,they reckon to come back through but,
SAUR,5287,S0192,okay so ships and stuff,
SMW8,2601,S0316,and then learn how to do it,
SYHP,3165,S0262,oh okay,
SN8K,291,S0255,week before,
SG56,1764,S0401,no but those people serving it ,
S5XD,2804,S0192,maybe not ,
SA2J,271,S0525,did you reply to auntie ,
SJB4,1345,S0197,yeah I've thinned out,
S6W8,3910,S0492,bit people have been,
ST82,1543,S0617,had to turn round and go all cos that's where,
S5XD,1851,S0192,you start seeing ,
S38V,190,S0192,see these ones all have conversions those ones have conversions on both windows can you see?,
S968,115,S0494,yeah,
SFCW,222,S0264,well you could just be teaching and go and see erm ,
S6W8,1238,S0493,yeah it's not bad going they and that's like that in a a lesson will get you half of the price of the box as well so it's paid for itself,
SUVQ,6731,S0192,anyway,
SG97,234,S0489,yes,
S632,6568,S0208,it suits you,
SUVQ,13795,S0198,yeah exactly,
SEBP,271,S0202,it's the way he's going about it that's wrong,
SJB4,5036,S0199,I've had,
SR7C,1292,S0525,er well I we'll go in and see her anyway when she's in Birmingham cos it's easier than when she was in Wolverhampton,
SUVQ,15256,S0198,no yeah which in the careteakers always were ,
SEJT,164,S0261,so he took me down there one day we just went down a Saturday morning,
SHBJ,466,S0070,are we going out in the garden?,1
S8CB,799,S0592,and you know especially in secondary school I'm I'm pretty certain there was a group of girls in particular who thought I was a snob because I did ,
SEJT,147,S0301,mm,
SN8K,1995,S0255,yeah,
SYEF,590,S0525,look,
S4WJ,51,S0439,oh let's have another episode on Netflix,
SFJ2,511,S0275,that was a sneeze,
SPLU,438,S0614,or ,
SN8K,396,S0318,er villages don't you?,
SNRQ,240,S0170,oh I know ,
SH2P,649,S0192,cuneiform is a type of writing,
SPLU,577,S0614,track ,
SUVQ,8436,S0198,so it's the ground floor the first floor and then the third floor yeah,
SQ3P,794,S0520,yeah,
S985,1213,S0337,yeah I said this to ,
S38V,596,S0198,and once they're hooked up to the I mean we can't have music too loud here anyway,
SUVQ,8337,S0235,or something like that,
S3LE,2716,S0337,yeah,
SB4D,1088,S0197,yeah?,
ST82,1285,S0617,thank you if you can put my,
SG56,1816,S0261,and there's the beauty of it,
S985,952,S0346,think so,
SB4D,1913,S0197,I didn't see that I didn't see that,
S6W8,3205,S0494,I'm gutted,
SWY3,2191,S0545,so,
SUVQ,1471,S0235,he's got a bit grey behind your ears,
SC2T,760,S0397,Dubai that's where he is,
S38V,863,S0192,it's we're not gonna see each other in the day,
SLJ5,104,S0681,mm yes yes you of course if you're gonna get a big lump sum you're gonna have to spread it around ain't you?,
SUVQ,3781,S0198,I guess it depends on the hours,
SYHP,104,S0261,see if we can find mm,
SDFR,214,S0416,no everything's too warm that's why I like the winter cos you can get all cosy and that feeling's the best and also when you're really hot and you're outside there's no way to cool down you're just ,
SEKZ,1893,S0262,what do you think then?,
SZT4,274,S0528,and I've worked in the hospice movement for more than sixteen years now,
SWY3,743,S0391,you finished with?,
SMW8,659,S0316,don't feel forced to open it if you want to save that for later and and drink the one that you've got open,
SAUR,4241,S0227,of er of Adama,
SMW8,2128,S0316,cheers,
SE3Y,293,S0227,other that the diets and them moving on but I mean he does er he's only fat in his head,
S985,1522,S0346,I dunno cos I'm sometimes I'm a bit funny about people walking in my house sometimes I don't mind and other times I'm like,
S6W8,2330,S0496,mm,
S28F,2383,S0315,were you quite young when you had both of them anyway?,
SP9F,1980,S0335,absolutely,
S968,1348,S0497,yeah I know but everyone seems to make their own ones up whether you can like buy off other people,
SUVQ,14425,S0236,oh alright,
SUUE,1136,S0262,mm,
SN8K,1321,S0317,mm,
SEJT,849,S0301,well perhaps not,
SUUE,1696,S0262,they don't care because they can feel the heart is in the right place,
SPLU,95,S0614,I dunno ,
SD3R,306,S0336,don't know she doesn't talk to anyone does she?,
SB32,721,S0623,yes,
SAUR,1975,S0190,can I come onto?,1
SVLK,240,S0310,yes,
SLSS,2438,S0584,he's ,
SRNC,100,S0584,cos we're lads,
SE3Y,77,S0227,yeah it's awful,
SUEL,845,S0180,quite commercial I think ,
SAUR,3304,S0189,what are the what's the chance of there being more than one at the beginning?,
SBJM,322,S0329,well I can't,
SYWR,702,S0393,yeah think people would like that,
S5XD,1639,S0192,yeah,
S8CW,438,S0306,yeah,
SGYW,413,S0070,no ,
SEKZ,865,S0262,mm,
SNG4,1483,S0258,yeah,
STKH,455,S0110,oh I see,
S6BS,483,S0592,I don't even know that I can't remember anything about Robin Hood ,
SBQZ,754,S0261,orchestra ,
S6W8,2125,S0496,knife or something,
SRNC,366,S0587,yeah,
SMW8,1052,S0255,and there was just that slight like nice smell of cooking yeah not when it's ,
S3S6,155,S0275,we went to the toilet and we died ,
S5XD,3952,S0192,good to have a hug yeah take care thank you for coming,
S5XD,1151,S0192,yeah,
SUVQ,16340,S0192,my family name,
S5B6,19,S0198,yeah no when it comes to ,
S7ZG,574,S0262,it's not bad actually is it?,
SUVQ,12910,S0192,it's nice though that we come home and like you got some pretty close friends that you come back and you just ,
SJLF,121,S0217,oh it's ,
SQ36,833,S0337,so up to ten thousand pounds worth on that cost so we're delivering the circuit,
SNG4,1752,S0255,so right yeah as as I say I read it ,
SUVQ,11041,S0192,Rush,
SUVQ,9539,S0235,it's so expensive,
S8CB,596,S0593,yeah,
S9KS,129,S0439,like quite not old,
SVZH,505,S0231,but it's how quick it does it,
S3LE,516,S0342,right yeah,
SUVQ,13789,S0192,we still ate it,
SD3R,522,S0344,and was like,
SB32,836,S0525,always shaking his bottom,
S6W8,349,S0493,so there's still a bit of mystery that's the ,
SHX2,289,S0417,with the whole family? they er take quite a lot of trips together don't they?,
S6W8,5280,S0497,I genuinely thought you'd have known,
S8CB,276,S0592,no ,
ST82,177,S0525,yeah,
SG56,535,S0262,what did he say?,
SJB4,1878,S0192,makes you what?,
SYWR,778,S0391,this at ,
SZNP,63,S0266,mm,
SFJ2,262,S0276,like cause she invited us so,
S78E,44,S0230,and then ,
S2QU,45,S0522,so you've gotta do you have to store all your stuff somewhere?,
SUVQ,12614,S0192,like you and that,
SLJ5,323,S0679,make your own up with,
SDFL,2212,S0152,but then have that's twenty thousand ,
SGYW,86,S0180,iTV3 always play Poirot ,
SR5H,772,S0593,they do indeed,
STKH,469,S0167,well I've got enough data ,
SD3R,1841,S0350,yeah that's it,
SN98,292,S0198,no it was two years ago I probably told you at the time,
S7DR,993,S0104,twelve twelve apparently,
S5XD,1051,S0192,yeah but you're young what about when you're like retirement age you could start doing it all then,
SEKZ,89,S0353,yeah well,
S3LE,2689,S0343,no,
SD6X,1486,S0058,mm,
SUVQ,14550,S0192,guy isn't it great? seriously we're on about six hours so it's really fantastic,
SFNQ,1383,S0192,yeah I would personally I mean I've got three certificates,
SPLU,456,S0614,just ,
SUVQ,5421,S0198,yeah,
SE3Y,334,S0192,and that that goes up to about six thousand metres so,
SE3Y,169,S0227,yeah just go off and then,
S985,2121,S0337,I've told you about the size of mine?,
S5B6,151,S0232,yeah,
SAZX,472,S0602,right has someone chosen a topic yet?,
SUVQ,511,S0192,turn the z into a ch,
S3S6,247,S0275,oh actually,
SMW8,3981,S0255,okay,
S632,3489,S0221,could have got fleece though,
SRRS,252,S0441,yeah I know,
SPC3,151,S0198,yeah keep him calm see ,
SDFL,11,S0012,C,
SKZX,33,S0392,yeah,
SUVQ,779,S0198,yeah yeah yeah,
SUVQ,2283,S0235,yeah ,
ST82,534,S0617,right does ,
SRRS,341,S0439,no,
SD3R,1538,S0350,okay ,
SP9F,1552,S0335,well no there would be if it was a logical progression from that,
SAUR,2276,S0190,alright then I'll put two in,
S323,51,S0578,six,
SFJ2,523,S0275,I don't like pizza,
SC8H,25,S0391,I like oust,
SUVQ,10225,S0236,uhh ahh,
S632,5106,S0220,no I ,
SEKZ,2523,S0353,yeah,
S35K,2448,S0262,that's what I mean don't explain the plots,
SH2P,294,S0228,I'm a hundred mate,
SUUE,933,S0371,and er,
S5XD,700,S0192,oh on that note ,
SBEV,582,S0363,got kids living next door to us soon,
SYHP,1660,S0360,yeah,
SKRC,712,S0440,yeah well you might've done ,
SAT9,142,S0058,did you see  Did you see  ,
SJB4,1167,S0192,three on one,
SM99,131,S0337,mm?,
S35K,2284,S0262,care,
SA7J,1344,S0564,Barbie ,
S457,493,S0614,whereabouts?,
SG56,921,S0388,tomorrow,
S968,371,S0492,oh no I can't can I?,
S5U8,969,S0417,the circumstance but there er ,
SYHP,291,S0262,yeah,
SA2J,2838,S0525,we'll sort them out onsite do what you like you've gotta blast them anyway ,
SD6X,336,S0179,ooh I'm buzzing,
SD3R,196,S0344,it was like ,
SB4D,1044,S0197,yeah ,
SDFL,1251,S0012,we can't move you see,
SNG4,224,S0258,yeah,
S968,237,S0494,er I've got one more ,
SA2J,450,S0525,I was hoping it might be ,
S3MW,626,S0525,nicer hotel and ,
SAUR,376,S0227,no,
SFNQ,1548,S0237,he did have a car,
SEKZ,1662,S0353,yeah,
SJB4,1232,S0192,so I'll just so I've gotta so let me just to clarify I need three different types of these to win ten more of these?,
S38V,1725,S0192,sieve,
SR87,173,S0416,erm ,
SMZV,319,S0336,those schedules,
SN98,157,S0230,no,
S6W8,1838,S0497,please say that to him,1
SC2T,904,S0397,I said well it,
S968,2128,S0497,wow,
SM99,1631,S0346,no but ,
SA7J,1086,UNKFEMALE,oh I hate it when somebody does that,
SE3W,387,S0481,oh ,
SYHP,664,S0360,yeah yeah,
S682,276,S0189,like no,
SJRQ,263,S0391,it is isn't it?,
SN8K,996,S0317,four and a half hours and,
SUVQ,16004,S0198,what's happening in the video,
SM99,1710,S0337,Cumberbatch,
SYHP,2263,S0262,but,
